BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1004226,12680.0,12713.0,1456.0,12680.0,12713.0,1570.0,unchanged
1004258,376765.0,376764.0,1442.0,376765.0,376773.0,1555.0,recommendation_changed
1004260,376765.0,376764.0,1442.0,376765.0,376773.0,1555.0,recommendation_changed
1004263,376765.0,376764.0,1442.0,376765.0,376773.0,1555.0,recommendation_changed
1004281,22789.0,7486.0,1544.0,22789.0,7486.0,1664.0,unchanged
1004312,376673.0,376671.0,1562.0,,,,no_longer_flagged
1004334,23041.0,23077.0,1571.0,,,,no_longer_flagged
1004359,13274.0,13311.0,1416.0,13274.0,13311.0,1525.0,unchanged
1004385,376721.0,376717.0,1594.0,,,,no_longer_flagged
1004420,133432.0,133434.0,1605.0,133432.0,133434.0,1724.0,unchanged
1004432,8669.0,8668.0,1606.0,8669.0,8668.0,1725.0,unchanged
1004441,9224.0,23592.0,1613.0,9224.0,23592.0,1732.0,unchanged
1004455,8540.0,23201.0,1604.0,8540.0,23201.0,1723.0,unchanged
1004456,8540.0,23201.0,1604.0,8540.0,23201.0,1723.0,unchanged
1004487,103009.0,111990.0,1600.0,,,,no_longer_flagged
1004488,103009.0,111990.0,1600.0,,,,no_longer_flagged
1004492,103009.0,111990.0,1600.0,,,,no_longer_flagged
1004495,8540.0,23201.0,1604.0,,,,no_longer_flagged
1004514,114860.0,133426.0,1633.0,,,,no_longer_flagged
1004516,114860.0,133426.0,1633.0,,,,no_longer_flagged
1004517,114860.0,133426.0,1633.0,,,,no_longer_flagged
1004527,133428.0,133423.0,1640.0,,,,no_longer_flagged
1004529,133428.0,133427.0,1641.0,133428.0,133427.0,1762.0,unchanged
1004546,114861.0,114862.0,1649.0,,,,no_longer_flagged
1004554,133427.0,133423.0,1640.0,133427.0,133428.0,1761.0,recommendation_changed
1004555,133427.0,133423.0,1640.0,133427.0,133428.0,1761.0,recommendation_changed
1004556,133427.0,133423.0,1640.0,133427.0,133428.0,1761.0,recommendation_changed
1004558,133428.0,133423.0,1640.0,,,,no_longer_flagged
