OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
1594,3,3,2
15942,11,11,2
15949,18,18,5
1595,7,7,2
15950,2,2,2
15965,9,9,3
1597,7,7,2
15972,20,20,4
15984,31,31,6
15985,9,9,2
15986,8,8,2
15996,6,6,2
160,3,3,3
1600,21,21,4
16036,5,5,2
1604,8,8,3
16045,5,5,2
16047,7,7,2
16050,3,3,3
16053,8,8,2
16056,9,9,2
16061,4,4,2
16063,2,2,2
16073,3,3,2
16077,6,6,2
1608,2,2,2
16080,7,7,3
16089,7,7,3
1609,7,7,2
16095,34,34,6
161,14,14,4
16104,2,2,2
1612,10,10,2
16127,7,7,5
16131,21,21,3
1614,9,9,3
16145,20,20,6
16150,2,2,2
16155,8,8,2
16159,12,12,2
16163,20,20,2
16200,10,10,2
16207,4,4,2
1621,9,9,2
1622,11,11,2
16220,38,38,8
16222,35,35,8
16232,18,18,4
16233,2,2,2
16237,5,5,4
16266,6,6,2
16272,11,11,4
16291,2,2,2
16292,17,17,3
16314,7,7,2
1633,10,10,3
1635,2,2,2
16353,14,14,2
16356,7,7,2
16357,29,29,6
16360,5,5,2
16361,13,13,2
16363,20,20,2
16369,7,7,3
16370,12,12,2
16379,16,16,3
16381,10,10,2
1640,13,13,2
16406,17,17,3
16409,13,13,2
16410,6,6,2
16416,27,27,5
16429,38,38,7
16466,3,3,2
16469,2,2,2
1647,7,7,2
16477,9,9,4
16482,9,9,3
1649,8,8,2
16499,26,26,3
16500,10,10,2
16505,7,7,3
16531,6,6,2
16538,8,8,2
16562,6,6,2
16567,8,8,2
16571,12,12,2
16582,2,2,2
16592,4,4,2
166,7,7,2
16610,8,8,5
16616,9,9,2
16632,14,14,3
16634,19,19,3
16640,8,8,2
16643,30,30,7
16652,7,7,2
16653,6,6,3
16655,9,9,2
1667,11,11,2
16672,6,6,2
16673,6,6,2
1668,7,7,2
16680,7,7,2
16686,40,40,6
16690,8,8,2
16693,7,7,2
16695,12,12,2
16698,9,9,2
1670,10,10,2
16715,7,7,2
1673,2,2,2
16735,21,21,4
16738,10,10,4
1674,8,8,2
16741,4,4,2
16744,7,7,3
16749,10,10,2
1675,7,7,2
1678,8,8,2
16787,8,8,2
16790,2,2,2
16805,8,8,2
