NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
1561,3,3,3
15617,4,4,2
15618,7,7,2
1562,3,3,2
15621,2,2,2
15622,8,8,5
15627,4,4,3
15628,5,5,5
15629,6,6,4
1563,15,15,7
1564,12,12,2
15642,7,7,2
15650,2,2,2
15657,7,7,2
15659,15,15,2
15664,12,12,3
15677,5,5,3
1568,8,8,3
15690,8,8,2
15692,2,2,2
15693,7,7,3
15697,2,2,2
157,3,3,2
15706,2,2,2
15708,8,8,2
15715,6,6,4
15722,8,8,3
15725,6,6,4
15743,8,8,2
15745,8,8,2
15751,6,6,2
15755,6,6,2
15759,10,10,3
15768,7,7,2
15778,8,8,2
15779,4,4,2
1578,8,8,2
15780,6,6,4
15799,10,10,2
15802,16,16,3
15806,7,7,2
15814,10,10,2
1582,8,8,2
15824,7,7,2
1583,10,10,2
15834,7,7,2
15836,2,2,2
1584,7,7,2
15846,3,3,2
15848,6,6,2
15859,6,6,2
15865,4,4,4
15866,6,6,3
15870,7,7,2
15877,4,4,3
15878,2,2,2
15882,6,6,3
15883,2,2,2
15884,3,3,3
15892,2,2,2
1590,7,7,2
15903,7,7,2
15904,7,7,2
15913,10,10,4
15922,11,11,3
15936,5,5,2
15942,9,9,2
15961,4,4,2
15968,5,5,2
15974,25,25,2
15976,6,6,2
15987,7,7,2
15989,7,7,2
1599,4,4,2
16003,7,7,2
16010,8,8,2
16013,2,2,2
16019,5,5,2
16025,2,2,2
16026,10,10,2
1603,3,3,2
16040,7,7,2
16042,6,6,2
16048,9,9,2
1605,8,8,3
16054,8,8,2
16065,7,7,2
16067,7,7,2
1607,4,4,4
16074,7,7,2
16078,7,7,4
16087,7,7,2
16095,6,6,2
161,3,3,2
16106,7,7,2
1611,6,6,2
16115,3,3,2
1612,8,8,3
16120,7,7,2
16125,6,6,2
16129,10,10,2
1613,8,8,2
16138,9,9,4
16139,4,4,2
1614,12,12,6
16142,8,8,2
16144,7,7,2
16145,8,8,2
16148,7,7,2
