BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_SPID,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_LID,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_LID,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1143192,,20157,32363,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,9982815548,"2333 N LOGAN AVE, GARAGE",COLO SPGS,38.86575332,-104.7971277,12PJ-1,-104.7971277,38.86575332,38.865803,-104.797128,5.5,False,,,,,,,,,OH9912,OH009912,12PJ-1,OH Transformer Bank,,38.86536949,-104.7968759,25,,47.9,new_assignment
1265550,,384443,2360,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,104716469,,,38.97700692,-104.7261842,,-104.7261842,38.97700692,38.977,-104.726174,1.2,False,,,,,,,,,PD108056,PD108056,12BG-23,UG Transformer Bank,RHWR-13,38.97727801,-104.7258522,25,,41.6,new_assignment
1044086,,535970,3622,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,3934973164,"1330 W KIOWA ST, HSEMTR2",COLO SPGS,38.8399134,-104.8450471,,-104.8450471,38.8399134,38.947246,-104.71566,16365.5,True,,,,,,,,,PD110294,PD110294,12BG-22,UG Transformer Bank,RTUT-13,38.94721981,-104.7158508,50,,16352.1,new_assignment
1285307,,378461,4677,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,5106833009,1126 NORWOOD AVE,COLO SPGS,38.79977519,-104.8082485,,-104.8082485,38.79977519,38.93971,-104.744335,16514.6,True,,,,,,,,,PD107210,PD107210,12BG-21,UG Transformer Bank,RTCC-4,38.93958744,-104.7443822,25,,16500.4,new_assignment
1232979,,384663,5042,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,2797189562,8522 NOREEN FALLS DR,COLO SPGS,38.95526888,-104.7140902,12BG-22,-104.7140902,38.95526888,38.955235,-104.714083,3.8,False,,,,,,,,,PD107886,PD107886,12BG-22,UG Transformer Bank,RWWR13-8,38.95532739,-104.7138069,25,,25.3,new_assignment
1152875,,7010,8451,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,8730485549,823 E MORENO AVE,COLO SPGS,38.82475947,-104.8096948,,-104.8096948,38.82475947,38.94358,-104.759145,13917.9,True,,,,,,,,,PD839,PD000839,13CW-1,UG Transformer Bank,RMMB-4,38.9436032,-104.7590474,25,,13923.0,new_assignment
1125482,,444304,9552,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,9195559217,7380 CORNICE PT,COLO SPGS,38.93971986,-104.6836659,,-104.6836659,38.93971986,38.939689,-104.683615,5.6,False,,,,,,,,,PD109663,PD109663,12FR-31,UG Transformer Bank,RCWH-9,38.93975065,-104.6835052,25,,14.3,new_assignment
1037817,,13491,9840,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,6920643127,4409 ARGYLL CIR,COLO SPGS,38.86658149,-104.7449226,13RI-9,-104.7449226,38.86658149,38.866617,-104.74491,4.1,False,,,,,,,,,UG11178,UG011178,13RI-9,UG Transformer Bank,RBW-17,38.86714012,-104.7448977,25,,62.2,new_assignment
1137848,,139208,10986,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,1808942762,7583 MANISTIQUE DR,COLO SPGS,38.91604127,-104.6854951,12ST-2,-104.6854951,38.91604127,38.916034,-104.685485,1.2,False,,,,,,,,,PD17717,PD017717,12ST-2,UG Transformer Bank,RSRH-22,38.91617881,-104.6856044,25,,18.0,new_assignment
1232529,,506690,13062,6,5,0,5,1.0,1.0,1.0,5,3,3,1.0,4291711567,9120 COAL CART LN,COLO SPGS,38.94521829,-104.6567803,12FR-32,-104.6567803,38.94521829,38.945295,-104.656777,8.5,False,,,,,,,,,PD110756,PD110756,12FR-32,UG Transformer Bank,REP1-11,38.94510454,-104.6564248,25,,33.2,new_assignment
