BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1043269,156167,129268,7393,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1032627,345249,345246,8701,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1075914,273278,282235,17736,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1076628,284155,282241,17900,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1178651,21210,21186,22437,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1287212,4636,4618,49934,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1007399,24891,24882,2385,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1131849,345084,20786,4954,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1090506,1307,1332,13700,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1066886,376834,376833,14949,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1188497,3217,3178,16240,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1301788,6754,22426,17338,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1145065,25814,25784,24427,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1186812,26106,26118,29216,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1187401,365119,365120,36081,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1270187,10991,10968,44300,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1303966,22424,22401,53187,12,12,1,11,0.9167,0.8333,1.0,11,3,3,1.0
1007408,10755,24394,918,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
1011409,6657,6551,1335,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
1020546,9204,9212,3372,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
1054417,365058,365056,3954,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
1275390,390509,390508,4449,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
1035783,306237,319035,6187,11,11,1,10,0.9091,0.8182,1.0,10,3,3,1.0
