transf_id,badge
12442,1002625
12138,1002626
12386,1002627
376542,1002628
376542,1002629
376542,1002630
376542,1002631
12411,1002632
376541,1002634
3610,1002635
24877,1002636
12479,1002637
25017,1002638
434686,1002639
12236,1002640
24949,1002641
3102,1002642
24896,1002643
24950,1002644
12283,1002645
12340,1002646
12315,1002647
601,1002648
601,1002649
601,1002650
589,1002651
19895,1002652
19895,1002653
651,1002654
103006,1002655
580,1002656
12338,1002657
24917,1002658
24980,1002659
12142,1002660
12197,1002661
12138,1002662
12087,1002663
491,1002664
19835,1002665
19835,1002666
491,1002667
835,1002668
835,1002669
24549,1002670
24549,1002671
484,1002672
25102,1002673
3710,1002674
23165,1002675
239355,1002676
20780,1002677
17682,1002678
2949,1002679
19791,1002680
18141,1002681
17400,1002682
25593,1002683
25871,1002684
15176,1002685
14342,1002687
4412,1002688
25682,1002690
17687,1002691
5105,1002692
18066,1002694
13824,1002695
17810,1002696
68449,1002697
