BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1063504,370574,370573,7900,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1042033,22799,7498,8238,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1041818,7773,7723,8825,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1031972,6563,6515,8937,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1040772,22516,6911,9169,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1033024,22498,6859,9199,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1034520,7732,7713,9202,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1033550,349773,349776,9322,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1133006,22142,22143,9737,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1035593,376893,376892,9832,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1037027,226242,256640,10188,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1053650,22561,22550,10361,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1038005,6552,6510,10416,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1043767,7810,7832,10830,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1042231,118715,118714,11299,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1041985,375407,370511,11353,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1042059,375410,375406,11357,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1048010,40608,40606,11584,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1058465,350255,350254,12004,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1048132,90207,90208,12322,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1047043,342716,340480,12374,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1060281,192316,323837,12601,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1056452,99489,99497,12648,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1226729,23430,23461,12684,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1082229,14063,14027,12846,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1061126,293758,344470,15098,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1068352,280958,280957,15836,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1123127,20017,12867,15899,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1068133,5762,5763,16015,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1066399,275841,275844,16045,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1237778,156485,156484,16182,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1121062,19426,21806,16532,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1069859,19297,19282,16693,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1222120,4728,21656,17125,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1079881,26321,26325,17218,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1076678,284157,284155,18799,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1077951,129905,129908,19085,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1099551,26361,26356,19295,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1079832,26327,26329,19626,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
