BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1088800,26160,15688,4816,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1027851,23639,9317,5380,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1023650,23134,8466,5408,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1020353,8923,9019,5451,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1020879,23690,23710,5452,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1027073,8757,8708,5550,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1026304,13088,13016,5726,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1021570,7478,7427,5751,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1021672,13223,13211,5783,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1021778,36133,36134,5800,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1035418,24329,10654,5810,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1185358,19545,19569,6230,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1093836,17861,17860,6407,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1024794,16877,4497,6559,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1035092,6790,22519,6875,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1053661,24416,24396,6953,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1029970,6382,6433,7141,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
