BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1039742,1.0,3,9
1039744,1.0,2,9
1039745,1.0,2,9
1039746,1.0,2,9
1039759,0.911,5,9
1039761,0.556,5,9
1039754,0.911,5,9
1039756,0.911,5,9
1039757,0.911,5,9
1039758,0.911,5,9
1039755,,0,9
1039760,,0,9
1002648,0.722,2,9
1002649,0.722,2,9
1002605,0.444,2,9
1048035,0.967,10,9
1039767,0.967,10,9
1039768,0.967,10,9
1039769,0.967,10,9
1039770,0.967,10,9
1039771,0.667,10,9
1065061,0.967,10,9
1045569,0.967,10,9
1045570,0.967,10,9
1045571,0.967,10,9
1045573,0.967,10,9
1039772,1.0,2,9
1039773,1.0,2,9
1039774,1.0,2,9
1039775,0.909,11,9
1039778,0.909,11,9
1039779,0.949,11,9
1039780,0.949,11,9
1039781,0.909,11,9
1039782,0.909,11,9
1039783,0.949,11,9
1039784,0.949,11,9
1039785,0.949,11,9
1039786,0.949,11,9
1039787,0.949,11,9
1039788,0.848,11,9
1039789,,0,9
1039799,1.0,5,9
1039800,1.0,5,9
1039801,1.0,5,9
1039802,1.0,5,9
1039805,1.0,5,9
1039790,1.0,5,9
1039791,0.556,7,9
1039792,0.937,7,9
1039793,0.937,7,9
1039794,0.937,7,9
1039795,0.937,7,9
1039796,0.937,7,9
1039797,0.937,7,9
1039798,0.937,7,9
1039804,,0,9
1039806,,0,9
1039807,,0,9
1039813,,0,9
1002606,,0,9
1039814,,0,9
1039826,0.984,7,9
1039830,0.984,7,9
1039817,0.889,7,9
1039818,0.984,7,9
1039819,0.984,7,9
1039820,0.984,7,9
1039821,0.984,7,9
1039823,0.984,7,9
1039822,0.889,1,9
1065166,0.889,1,9
1039824,,0,9
1039825,,0,9
1039827,1.0,7,9
1039828,1.0,7,9
1039829,1.0,7,9
1039839,1.0,7,9
1039840,1.0,7,9
1039841,1.0,7,9
1039842,1.0,7,9
1039845,1.0,7,9
1039859,0.833,8,9
1039860,0.833,8,9
1039861,0.639,8,9
1039862,0.917,8,9
1039831,0.917,8,9
1039832,0.917,8,9
1039833,0.917,8,9
1039834,0.917,8,9
1039835,0.833,8,9
1039836,,0,9
1039843,,0,9
1040836,0.651,7,9
1040837,0.921,7,9
1039846,0.921,7,9
1039847,0.921,7,9
1048245,0.921,7,9
1039849,0.746,7,9
1039852,0.921,7,9
1039854,0.921,7,9
1000687,1.0,1,9
1048653,1.0,1,9
1002607,,0,9
1039848,,0,9
1039863,0.542,8,9
1039864,0.833,8,9
1039961,0.833,8,9
1039866,0.792,8,9
1039959,0.833,8,9
1039865,0.722,8,9
1039960,0.833,8,9
1039964,0.833,8,9
1039851,0.444,8,9
1039856,0.761,13,9
1039857,0.453,13,9
1039858,0.419,13,9
1040095,0.761,13,9
1040096,0.53,13,9
1040097,0.761,13,9
1040098,0.419,13,9
1040110,0.513,13,9
1040103,0.453,13,9
1040107,0.701,13,9
1040108,0.701,13,9
1040109,0.761,13,9
1039853,0.761,13,9
1039855,0.761,13,9
1039869,,0,9
1143958,1.0,5,9
1143961,1.0,5,9
1112539,1.0,5,9
1039872,1.0,5,9
1112517,1.0,5,9
1112524,1.0,5,9
1039873,,0,9
1130837,1.0,6,9
1133916,1.0,6,9
1039875,1.0,6,9
1039879,1.0,6,9
1039880,1.0,6,9
1039881,1.0,6,9
1039882,1.0,6,9
1118932,0.908,8,9
1304767,0.375,8,8
1302670,0.908,8,9
1097351,0.908,8,9
1302795,0.908,8,9
