NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
22083,3,3,3
22092,4,4,2
22093,3,3,2
22096,8,8,2
22113,6,6,5
22115,4,4,2
22118,2,2,2
22119,8,8,2
22121,4,4,2
22125,5,5,2
22138,5,5,2
22156,9,9,2
22175,5,5,3
2218,6,6,2
22180,6,6,2
22202,3,3,2
22205,7,7,2
22217,3,3,2
22259,2,2,2
22265,9,9,2
22269,11,11,3
22272,2,2,2
22275,11,11,3
22284,3,3,2
22289,6,6,3
223,4,4,3
22300,6,6,2
22301,2,2,2
22302,6,6,2
22304,10,10,6
22306,11,11,4
22317,5,5,2
22376,12,12,3
22384,7,7,2
22389,5,5,2
22390,7,7,2
22399,3,3,2
22400,4,4,2
22403,4,4,2
22408,5,5,3
22412,9,9,2
22414,6,6,2
22418,6,6,2
22435,8,8,3
22453,5,5,2
2247,5,5,2
22473,3,3,2
22474,6,6,2
22475,6,6,2
22479,3,3,2
22481,7,7,2
225,3,3,2
22521,5,5,2
22525,5,5,5
22533,9,9,3
22554,5,5,3
22557,8,8,2
22559,5,5,2
22566,4,4,2
22568,4,4,2
22571,5,5,2
22575,5,5,2
22580,4,4,2
22582,3,3,3
22584,6,6,3
22586,6,6,2
22589,3,3,2
22598,6,6,2
22599,4,4,4
22601,2,2,2
22602,5,5,2
22613,8,8,2
22615,5,5,2
22617,6,6,2
22660,2,2,2
22662,6,6,2
22669,6,6,3
22673,8,8,2
22677,7,7,2
22678,6,6,4
22687,6,6,2
22688,6,6,3
22693,10,10,3
22696,4,4,2
22698,5,5,2
227,3,3,2
22701,9,9,2
22702,6,6,2
22725,7,7,2
22737,5,5,2
22738,6,6,2
22740,3,3,2
22750,5,5,2
22751,6,6,3
22754,3,3,2
22757,6,6,2
22758,5,5,2
22762,10,10,2
22767,5,5,4
22768,2,2,2
22771,6,6,2
22774,6,6,3
22775,4,4,2
22776,5,5,2
22777,7,7,2
22780,2,2,2
22781,6,6,3
22787,8,8,2
22792,3,3,2
22794,6,6,3
22795,5,5,2
22804,7,7,2
22810,21,21,3
22820,6,6,2
22825,5,5,2
22839,4,4,2
22846,6,6,2
22848,5,5,2
22851,6,6,2
22853,6,6,2
22854,3,3,2
22857,5,5,2
22859,4,4,2
22865,2,2,2
22869,8,8,2
22871,5,5,2
22872,6,6,2
22873,7,7,3
22875,9,9,2
22880,4,4,3
22881,3,3,2
22888,5,5,2
22894,2,2,2
22900,4,4,2
22914,6,6,4
22920,4,4,2
22931,6,6,2
22938,19,19,6
22939,5,5,2
22944,4,4,3
22960,3,3,2
22961,3,3,3
23013,6,6,2
23018,5,5,3
23019,4,4,2
23022,12,12,2
23023,5,5,3
23024,6,6,2
23029,2,2,2
23032,6,6,2
23038,4,4,2
23041,3,3,2
23055,5,5,3
23056,8,8,2
23067,6,6,2
23070,9,9,2
23072,2,2,2
23079,43,43,5
23086,6,6,2
23093,4,4,2
23095,8,8,2
23096,7,7,3
23097,6,6,2
23101,9,9,2
23106,9,9,4
23124,6,6,2
23138,6,6,2
23149,3,3,3
23151,4,4,2
23165,15,15,3
23166,11,11,2
23169,7,7,2
23171,5,5,2
23177,6,6,3
23179,9,9,3
23185,2,2,2
23189,4,4,2
2319,5,5,2
23191,12,12,2
23194,6,6,2
23198,5,5,3
23204,8,8,2
23206,5,5,2
23218,6,6,2
23227,5,5,2
23235,7,7,2
23242,11,11,2
23249,12,12,4
23250,8,8,2
23253,5,5,2
23256,5,5,2
23261,3,3,2
23270,4,4,2
23271,4,4,2
23272,6,6,2
23273,6,6,2
23275,7,7,3
23276,3,3,3
23281,3,3,2
23311,3,3,2
23314,4,4,2
23325,6,6,3
23331,7,7,3
23338,11,11,3
23341,4,4,2
23344,2,2,2
23348,2,2,2
23353,9,9,5
23354,6,6,3
23368,4,4,2
23370,2,2,2
23373,3,3,2
23398,5,5,3
23403,2,2,2
23414,3,3,2
23434,5,5,4
23442,11,11,3
23447,5,5,3
23452,5,5,2
23454,2,2,2
23456,4,4,3
23469,9,9,3
23471,7,7,3
23474,6,6,2
23476,8,8,2
23486,5,5,2
23495,3,3,3
23534,5,5,3
23538,4,4,2
23539,2,2,2
23544,3,3,3
23555,7,7,2
23556,2,2,2
23558,4,4,2
23560,2,2,2
23566,7,7,3
23582,5,5,2
23584,2,2,2
