BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1002126,4,1,0,3,0.0
1002130,34,29,0,5,0.8485
1002137,11,2,0,9,0.1
1002138,11,4,0,7,0.3
1002139,11,1,0,10,0.0
1002140,4,1,0,3,0.0
1002144,3,1,0,2,0.0
1002154,5,1,0,4,0.0
1002155,5,4,0,1,0.75
1002161,3,1,0,2,0.0
1002163,3,1,0,2,0.0
1002168,34,29,0,5,0.8485
1002169,34,1,0,33,0.0
1002170,34,29,0,5,0.8485
1002171,34,29,0,5,0.8485
1002177,2,1,0,1,0.0
1002180,7,8,1,0,0.8571
1002181,7,8,1,0,0.8571
1002182,1,8,7,0,0.0
1002184,1,10,9,0,0.0
1002185,8,10,2,0,0.7778
1002186,8,10,2,0,0.7778
1002187,1,10,9,0,0.0
1002190,6,2,0,4,0.2
1002191,34,29,0,5,0.8485
1002193,5,2,0,3,0.25
1002195,5,2,0,3,0.25
1002197,2,1,0,1,0.0
1002200,6,7,1,0,0.8333
1002201,6,7,1,0,0.8333
1002202,1,7,6,0,0.0
1002204,7,3,0,4,0.3333
1002205,7,3,0,4,0.3333
1002208,5,1,0,4,0.0
1002210,5,4,0,1,0.75
1002211,5,4,0,1,0.75
1002216,6,8,2,0,0.7143
1002217,9,3,0,6,0.25
1002218,9,3,0,6,0.25
1002219,6,8,2,0,0.7143
1002224,3,1,0,2,0.0
1002226,5,1,0,4,0.0
1002232,10,13,6,3,0.4
1002233,9,6,0,3,0.625
1002234,9,6,0,3,0.625
1002235,9,6,0,3,0.625
1002241,5,1,0,4,0.0
1002242,5,4,0,1,0.75
1002246,4,3,0,1,0.6667
1002247,4,3,0,1,0.6667
1002249,26,8,0,18,0.28
1002250,26,8,0,18,0.28
1002257,5,1,0,4,0.0
1002260,6,1,0,5,0.0
1002261,34,29,0,5,0.8485
1002265,9,10,1,0,0.8889
1002267,7,8,1,0,0.8571
1002272,5,4,0,1,0.75
1002273,5,1,0,4,0.0
1002274,5,4,0,1,0.75
1002275,2,1,0,1,0.0
1002276,2,1,0,1,0.0
1002278,3,1,0,2,0.0
1002279,3,2,0,1,0.5
1002290,7,8,1,0,0.8571
1002292,11,8,0,3,0.7
1002293,11,8,0,3,0.7
1002294,11,8,0,3,0.7
1002295,10,7,0,3,0.6667
1002297,18,26,9,1,0.6154
1002300,6,7,1,0,0.8333
1002302,11,1,0,10,0.0
1002303,11,8,0,3,0.7
1002314,4,1,0,3,0.0
1002332,2,1,0,1,0.0
1002333,2,1,0,1,0.0
1002338,1,6,5,0,0.0
1002340,6,6,1,1,0.6667
1002341,18,26,9,1,0.6154
1002343,6,6,1,1,0.6667
1002348,6,7,1,0,0.8333
1002349,6,7,1,0,0.8333
1002350,6,7,1,0,0.8333
1002351,6,7,1,0,0.8333
1002355,7,8,1,0,0.8571
1002357,6,8,2,0,0.7143
1002358,9,3,0,6,0.25
1002359,6,8,2,0,0.7143
1002360,9,6,0,3,0.625
1002364,8,26,18,0,0.28
1002367,2,13,11,0,0.0833
1002368,5,4,0,1,0.75
1002370,2,6,4,0,0.2
1002371,6,2,0,4,0.2
1002373,7,7,1,1,0.7143
1002374,9,8,0,1,0.875
1002375,6,7,1,0,0.8333
1002376,8,13,6,1,0.4615
1002377,11,5,0,6,0.4
1002378,11,5,0,6,0.4
1002380,8,13,6,1,0.4615
1002381,9,6,0,3,0.625
1002382,9,6,0,3,0.625
1002384,7,6,0,1,0.8333
1002385,10,11,1,0,0.9
1002387,10,11,1,0,0.9
1002388,16,17,2,1,0.8235
1002389,16,17,2,1,0.8235
1002391,10,11,1,0,0.9
1002398,16,17,2,1,0.8235
1002399,16,17,2,1,0.8235
1002407,26,16,0,10,0.6
1002408,7,8,1,0,0.8571
1002409,7,9,2,0,0.75
1002410,10,9,0,1,0.8889
1002411,7,9,2,0,0.75
1002413,1,8,7,0,0.0
1002415,6,8,2,0,0.7143
1002417,7,13,8,2,0.2857
1002422,7,1,0,6,0.0
1002429,9,5,0,4,0.5
1002431,9,5,0,4,0.5
1002440,10,9,0,1,0.8889
1002441,10,9,0,1,0.8889
1002448,9,3,0,6,0.25
1002449,9,3,0,6,0.25
1002450,9,4,0,5,0.375
1002454,34,29,0,5,0.8485
1002455,34,29,0,5,0.8485
1002456,9,7,0,2,0.75
1002457,9,7,0,2,0.75
1002461,7,8,2,1,0.625
1002464,10,1,0,9,0.0
1002466,6,8,2,0,0.7143
1002477,9,7,0,2,0.75
1002478,7,8,2,1,0.625
1002480,7,8,1,0,0.8571
1002482,7,8,1,0,0.8571
1002483,7,8,1,0,0.8571
1002484,1,8,7,0,0.0
1002485,7,8,1,0,0.8571
1002486,7,8,1,0,0.8571
1002487,7,8,1,0,0.8571
1002492,7,1,0,6,0.0
1002493,7,6,0,1,0.8333
1002494,14,9,0,5,0.6154
1002500,7,5,0,2,0.6667
1002501,7,5,0,2,0.6667
1002502,7,5,0,2,0.6667
1002503,7,2,0,5,0.1667
1002524,2,1,0,1,0.0
1002525,34,29,0,5,0.8485
1002535,7,8,1,0,0.8571
1002541,7,7,1,1,0.7143
1002542,6,7,1,0,0.8333
1002543,6,7,1,0,0.8333
1002545,7,6,0,1,0.8333
1002546,7,6,0,1,0.8333
1002547,7,6,0,1,0.8333
1002556,8,7,0,1,0.8571
1002561,10,6,0,4,0.5556
1002562,10,4,0,6,0.3333
1002563,10,6,0,4,0.5556
1002568,7,6,0,1,0.8333
1002569,8,7,0,1,0.8571
1002570,7,1,0,6,0.0
1002571,8,7,0,1,0.8571
1002572,8,7,0,1,0.8571
1002573,8,7,0,1,0.8571
1002575,8,1,0,7,0.0
1002581,7,8,1,0,0.8571
1002583,3,2,0,1,0.5
1002584,16,17,2,1,0.8235
1002587,6,7,1,0,0.8333
1002590,8,9,2,1,0.6667
1002591,6,7,1,0,0.8333
1002603,9,8,1,2,0.6667
1002609,9,10,2,1,0.7
1002612,10,6,0,4,0.5556
1002613,10,4,0,6,0.3333
1002616,9,1,0,8,0.0
1002617,9,10,2,1,0.7
1002622,2,10,8,0,0.1111
1002624,7,1,0,6,0.0
1002625,11,8,0,3,0.7
1002627,7,1,0,6,0.0
1002629,7,8,1,0,0.8571
1002630,7,8,1,0,0.8571
1002631,7,8,1,0,0.8571
1002640,9,10,1,0,0.8889
1002641,9,1,0,8,0.0
1002644,24,18,0,6,0.7391
1002646,2,9,7,0,0.125
1002666,4,3,0,1,0.6667
1002668,2,1,0,1,0.0
1002669,2,1,0,1,0.0
1002673,6,1,0,5,0.0
1002674,3,1,0,2,0.0
1002678,7,8,1,0,0.8571
1002681,7,7,1,1,0.7143
1002683,20,19,0,1,0.9474
1002687,13,12,0,1,0.9167
1002690,7,6,0,1,0.8333
1002694,6,5,0,1,0.8
1002697,6,7,1,0,0.8333
1002701,1,8,7,0,0.0
1002706,8,1,0,7,0.0
1002714,10,1,0,9,0.0
1002715,10,14,5,1,0.5714
1002716,10,9,0,1,0.8889
1002729,7,6,0,1,0.8333
1002732,10,9,0,1,0.8889
1002895,18,20,9,7,0.3846
1002897,10,9,0,1,0.8889
1002898,18,20,9,7,0.3846
1002900,10,9,0,1,0.8889
1002901,10,9,0,1,0.8889
1002903,7,6,0,1,0.8333
1002904,9,2,0,7,0.125
1002905,4,14,10,0,0.2308
1002906,1,7,6,0,0.0
1002909,4,3,0,1,0.6667
1002918,2,1,0,1,0.0
1002927,6,5,0,1,0.8
1003545,9,1,0,8,0.0
1003548,7,6,0,1,0.8333
1003551,9,7,0,2,0.75
1003558,7,6,0,1,0.8333
1003569,13,10,0,3,0.75
1003574,4,2,0,2,0.3333
1003578,8,7,0,1,0.8571
1003579,6,2,0,4,0.2
1003580,1,6,5,0,0.0
1003581,6,6,1,1,0.6667
1003583,9,13,10,6,0.1111
1003585,4,2,0,2,0.3333
1003588,3,2,0,1,0.5
1003591,3,2,0,1,0.5
1003603,6,6,1,1,0.6667
1003616,7,6,0,1,0.8333
1003617,7,6,0,1,0.8333
1003618,7,6,0,1,0.8333
1003619,7,6,0,1,0.8333
1003621,6,1,0,5,0.0
1003625,7,8,1,0,0.8571
1003626,8,1,0,7,0.0
1003629,6,1,0,5,0.0
1003630,3,1,0,2,0.0
1003640,7,8,1,0,0.8571
1003661,10,13,9,6,0.1667
1003663,9,13,10,6,0.1111
1003666,6,7,1,0,0.8333
1003667,6,7,1,0,0.8333
1003668,8,7,0,1,0.8571
1003669,8,7,0,1,0.8571
1003670,8,7,0,1,0.8571
1003671,6,6,1,1,0.6667
